name,business_category,lat,lon,address,pkd,regon,nip,status,competitors_1km,competitors_3km,competitors_5km,population_density,income_level,accessibility_score,rental_cost,source,employees
Optymista,gastronomia,50.0198758,20.0584838,,cafe,,,active,1,5,18,95.11010496105993,55242.935041395336,0.5242935041395334,2951.4129917209334,OSM,18
Equipo Cycling Spot,gastronomia,50.048915,19.9268371,,cafe,,,active,2,43,54,314.2461349612096,58908.890533970385,0.8908890533970386,2218.2218932059227,OSM,2
Pod Masztem,gastronomia,49.9589443,20.0835133,,cafe,,,active,0,0,10,61.0856007735772,52314.76495822111,0.2314764958221106,3537.0470083557784,OSM,17
Zielna,gastronomia,50.0465941,19.9259988,,cafe,,,active,2,44,54,291.7448944349009,58786.17395012694,0.8786173950126938,2242.7652099746124,OSM,4
Baker House,gastronomia,50.019429,19.9184704,,cafe,,,active,2,14,53,156.77390941866284,57310.693808337994,0.7310693808337994,2537.8612383324016,OSM,9
Bawialnia Chwilka,gastronomia,50.0126385,20.0187844,,cafe,,,active,3,10,27,113.27429002348568,56085.9356973561,0.6085935697356102,2782.8128605287798,OSM,15
cafe_12577107700,gastronomia,50.0146945,20.0220754,,cafe,,,active,3,10,27,113.32652628137267,56087.97029780499,0.6087970297804987,2782.4059404390027,OSM,2
Pod Kominem,gastronomia,49.9898252,20.0501836,,cafe,,,active,5,9,17,81.86753654080356,54392.573037777984,0.43925730377779815,3121.4853924444037,OSM,16
Nakielny,gastronomia,50.0280095,19.9505337,,cafe,,,active,4,54,60,196.12120004754183,57950.55608532482,0.7950556085324816,2409.888782935037,OSM,19
Starbucks,gastronomia,50.0284985,19.953276,,cafe,,,active,3,53,60,197.2943398210002,57965.7154358628,0.79657154358628,2406.85691282744,OSM,15
Alicja Słodka Przygoda,gastronomia,50.0270443,19.9508564,,cafe,,,active,4,54,60,192.01398844746598,57896.02304997275,0.789602304997275,2420.79539000545,OSM,8
cafe_13046178702,gastronomia,49.9847861,20.059794,,cafe,,,active,8,9,16,76.38363081704652,53954.09488064797,0.3954094880647975,3209.181023870405,OSM,18
Fit Cafe,gastronomia,49.9863813,20.0518357,,cafe,,,active,8,9,17,79.4936217407254,54210.18719425329,0.42101871942532854,3157.962561149343,OSM,9
Rozkwit,gastronomia,50.0421763,19.9436764,,cafe,,,active,24,47,58,285.200654525671,58746.84834320745,0.874684834320745,2250.6303313585104,OSM,7
Parter,gastronomia,49.9939689,19.9453398,,cafe,,,active,0,3,18,112.8034520485801,56067.511535155245,0.6067511535155242,2786.4976929689515,OSM,19
Cake Factory,gastronomia,50.0448949,19.9979353,,cafe,,,active,0,16,55,186.0793855490793,57812.97479017028,0.7812974790170281,2437.405041965944,OSM,3
Cafe Royal,gastronomia,50.0193187,20.0503178,,cafe,,,active,1,6,20,99.43338704002403,55471.50791213881,0.5471507912138812,2905.6984175722373,OSM,3
cafe_340730246,gastronomia,50.0189492,19.9942559,,cafe,,,active,2,13,59,139.18091876456862,56907.55353220671,0.6907553532206705,2618.489293558659,OSM,7
Coffeece,gastronomia,50.0486854,19.9599633,,cafe,,,active,17,46,60,325.036580582564,58961.71160457125,0.896171160457125,2207.65767908575,OSM,5
Per Piacere,gastronomia,50.0148964,20.0281106,,cafe,,,active,3,8,24,109.67664574845051,55941.144314836376,0.594114431483638,2811.7711370327243,OSM,2
cafe_1248934245,gastronomia,50.0403107,19.9510913,,cafe,,,active,18,48,59,266.9075375127531,58626.69209472546,0.8626692094725464,2274.661581054907,OSM,3
cafe_1306246241,gastronomia,49.9846476,20.0524735,,cafe,,,active,8,9,17,78.40004885515047,54122.45295377577,0.41224529537757726,3175.5094092448453,OSM,11
Mech Cafe,gastronomia,50.0416799,19.9483735,,cafe,,,active,25,48,59,280.0316649821384,58714.48763648964,0.8714487636489637,2257.1024727020726,OSM,18
Cukiernia Sowa,gastronomia,50.014098,19.9316951,,cafe,,,active,1,15,58,149.11238573963612,57146.82449066944,0.7146824490669436,2570.635101866113,OSM,2
PKO BP,usługi finansowe,50.0152215,20.0089928,,bank,,,active,1,1,12,122.66536804157953,56423.86989104768,0.642386989104768,2715.226021790464,OSM,12
Millennium Bank,usługi finansowe,50.0439773,19.9471726,,bank,,,active,8,21,29,302.16283869555656,58845.26309668485,0.8845263096684851,2230.94738066303,OSM,19
Małopolski Bank Spółdzielczy,usługi finansowe,50.008032,19.94982,,bank,,,active,1,7,30,136.78785450588487,56844.70471222656,0.6844704712226559,2631.0590575546885,OSM,1
Bank Spółdzielczy w Limanowej,usługi finansowe,50.0273417,19.9636047,,bank,,,active,5,24,30,186.521471135611,57819.34346777442,0.7819343467774423,2436.1313064451156,OSM,10
PKO BP,usługi finansowe,50.0449382,19.9488192,,bank,,,active,7,21,29,311.11320999002135,58892.86798520694,0.8892867985206938,2221.4264029586125,OSM,1
Bank Pekao,usługi finansowe,50.045772,19.9516501,,bank,,,active,6,20,29,316.69811943452964,58921.20944420902,0.8921209444209017,2215.7581111581967,OSM,13
Santander,usługi finansowe,50.0334005,19.970616,,bank,,,active,3,19,30,202.77044801462102,58034.15744308092,0.8034157443080923,2393.1685113838157,OSM,15
Santander,usługi finansowe,49.9839733,20.0622025,,bank,,,active,7,7,8,75.32877989852466,53862.43065832807,0.386243065832807,3227.5138683343857,OSM,19
PKO BP,usługi finansowe,50.0129507,19.967035,,bank,,,active,0,11,30,143.56339880397127,57017.21814776254,0.7017218147762542,2596.5563704474916,OSM,8
Alior Bank,usługi finansowe,50.0335618,19.971061,,bank,,,active,3,19,30,202.8086050100164,58034.62137380559,0.8034621373805585,2393.075725238883,OSM,2
PKO BP,usługi finansowe,50.0295846,19.9177376,,bank,,,active,3,20,27,186.462620894952,57818.497414655096,0.7818497414655099,2436.3005170689803,OSM,6
Bank Pekao,usługi finansowe,50.0269742,19.9122251,,bank,,,active,2,17,27,172.3069584681807,57598.201927275426,0.7598201927275425,2480.3596145449146,OSM,13
BNP Paribas Polska,usługi finansowe,50.0356443,19.9407393,,bank,,,active,6,25,29,235.56365011075826,58377.43142982838,0.8377431429828379,2324.513714034324,OSM,8
ING Bank Śląski,usługi finansowe,50.0350108,19.9251771,,bank,,,active,2,21,28,217.77463490923867,58204.04849853894,0.8204048498538943,2359.1903002922113,OSM,18
mBank,usługi finansowe,50.0415358,19.943348,,bank,,,active,9,22,29,279.45133959019586,58710.7797345569,0.87107797345569,2257.84405308862,OSM,15
Bank Pekao,usługi finansowe,50.0273668,19.9035957,,bank,,,active,1,10,27,164.02929785741685,57451.76406574253,0.7451764065742529,2509.647186851494,OSM,11
Crédit Agricole,usługi finansowe,50.0394746,19.9418409,,bank,,,active,9,24,29,262.1925833176975,58593.0047918474,0.8593004791847402,2281.3990416305196,OSM,16
Alior Bank S.A.,usługi finansowe,50.0414562,19.9433008,,bank,,,active,9,22,29,278.7504441547434,58706.280884982436,0.8706280884982434,2258.743823003513,OSM,19
Alior Bank,usługi finansowe,50.0332282,19.9241585,,bank,,,active,2,22,28,208.21328552931163,58098.616251941276,0.8098616251941274,2380.276749611745,OSM,2
Bank Pekao,usługi finansowe,50.0181312,19.9312821,,bank,,,active,1,19,29,159.48795823996207,57364.96707640014,0.7364967076400144,2527.006584719971,OSM,19
BOŚ Bank,usługi finansowe,50.0391207,19.9419927,,bank,,,active,8,24,29,259.5797124161878,58573.80940773082,0.8573809407730821,2285.238118453836,OSM,8
Kasa Stefczyka,usługi finansowe,50.0430317,19.9453349,,bank,,,active,9,23,29,293.2961019552793,58795.238168299154,0.8795238168299154,2240.952366340169,OSM,11
BNP Paribas,usługi finansowe,50.0335222,19.9704965,,bank,,,active,3,19,30,203.42833956904735,58042.13203008379,0.8042132030083788,2391.573593983242,OSM,1
Bank Pekao,usługi finansowe,50.0139457,19.9959956,,bank,,,active,1,6,24,129.58916137266235,56641.6526297123,0.6641652629712301,2671.6694740575394,OSM,6
Alior Bank,usługi finansowe,50.0402896,19.9860649,,bank,,,active,0,10,27,200.1827326233808,58002.28207274656,0.8002282072746562,2399.5435854506877,OSM,2
Krakowski Bank Spółdzielczy,usługi finansowe,50.0208863,20.0522899,,bank,,,active,0,0,10,99.21173342430448,55460.27352065686,0.5460273520656862,2907.945295868628,OSM,7
Małopolski Bank Spółdzielczy w Wieliczce,usługi finansowe,49.9844322,20.0714934,,bank,,,active,7,7,8,72.98645378651885,53649.41370541894,0.3649413705418939,3270.1172589162124,OSM,10
ING,usługi finansowe,50.0279867,19.9502388,,bank,,,active,2,27,30,196.10011254252944,57950.281932441205,0.7950281932441207,2409.9436135117585,OSM,15
mBank,usługi finansowe,50.0281351,19.9518466,,bank,,,active,2,27,30,196.26629418894086,57952.44081737916,0.7952440817379157,2409.5118365241688,OSM,15
Bank Pocztowy,usługi finansowe,50.036635,19.9413224,,bank,,,active,7,25,29,242.03036588437968,58434.14351883906,0.8434143518839057,2313.1712962321885,OSM,1
Małopolski Bank Spółdzielczy,usługi finansowe,49.9842867,20.0634205,,bank,,,active,7,7,8,75.13545031085926,53845.351655825034,0.38453516558250345,3230.929668834993,OSM,5
BNP Paribas,usługi finansowe,49.9845561,20.063126,,bank,,,active,7,7,8,75.34056381248648,53863.46883141943,0.3863468831419429,3227.3062337161145,OSM,5
PKO Bank Poski,usługi finansowe,49.9843857,20.063087,,bank,,,active,7,7,8,75.27329347021188,53857.537886955004,0.38575378869550003,3228.4924226089997,OSM,7
Credit Agricole,usługi finansowe,49.9844163,20.0628831,,bank,,,active,7,7,8,75.34404435047117,53863.77540772573,0.386377540772573,3227.244918454854,OSM,13
Kasy stefczyka,usługi finansowe,49.9841581,20.0623001,,bank,,,active,7,7,8,75.38708409493499,53867.564139099086,0.38675641390990834,3226.4871721801833,OSM,18
Bank Pekao,usługi finansowe,50.045096,19.921217,,bank,,,active,1,18,28,265.73712353659346,58618.44128759395,0.8618441287593951,2276.31174248121,OSM,3
Bank Pekao,usługi finansowe,49.9833156,20.0608706,,bank,,,active,7,7,8,75.39011692202484,53867.83095167309,0.386783095167309,3226.433809665382,OSM,16
Santander,usługi finansowe,50.0132896,19.9501451,,bank,,,active,1,16,30,148.62434690808996,57135.81364425304,0.7135813644253034,2572.837271149393,OSM,17
Bank Pekao,usługi finansowe,50.0450971,19.9228911,,bank,,,active,1,18,28,270.91271231517857,58654.3870875343,0.8654387087534297,2269.1225824931407,OSM,14
Millenium Bank,usługi finansowe,50.0134522,19.9314722,,bank,,,active,1,16,29,147.49673384466078,57110.09442740213,0.7110094427402133,2577.9811145195736,OSM,11
Awiteks,handel,50.0436192,19.9470979,,bakery,,,active,13,47,90,298.6092343039051,58825.570871357806,0.8825570871357807,2234.8858257284382,OSM,16
Awiteks,handel,50.0450251,19.983126,,bakery,,,active,4,32,94,222.61012722186828,58253.92069426533,0.8253920694265333,2349.2158611469335,OSM,19
Buczek,handel,50.0301302,19.9117032,,bakery,,,active,6,38,72,181.1649149231662,57740.08370929849,0.7740083709298488,2451.9832581403025,OSM,18
Dom Chleba,handel,50.0114581,20.0101062,,bakery,,,active,15,33,72,117.26207156658181,56236.04667459676,0.6236046674596754,2752.7906650806494,OSM,1
Złoty Kłos,handel,49.9877133,20.042923,,bakery,,,active,0,9,34,82.9523599247341,54472.443937054115,0.4472443937054118,3105.5112125891765,OSM,7
Steskal,handel,50.044222,19.9476255,,bakery,,,active,11,46,90,304.4370066179736,58857.62410899201,0.8857624108992009,2228.4751782015983,OSM,9
Przystanek Piekarnia,handel,50.0412875,19.9244773,,bakery,,,active,10,42,78,250.79212114477403,58506.3169539869,0.8506316953986898,2298.7366092026205,OSM,9
Piekarnia Chmura,handel,50.0489976,19.9260774,,bakery,,,active,8,40,72,311.759337440112,58896.19879838868,0.8896198798388681,2220.7602403222636,OSM,15
Awiteks,handel,50.0480865,19.9432521,,bakery,,,active,14,42,84,350.6868894551662,59074.226710394534,0.9074226710394536,2185.1546579210926,OSM,9
Weka,handel,50.0483613,19.9444132,,bakery,,,active,10,42,84,354.95437767569086,59091.36826745427,0.909136826745427,2181.726346509146,OSM,4
Buczek,handel,50.0481335,19.9432342,,bakery,,,active,14,42,84,351.31860498808584,59076.79043210093,0.9076790432100923,2184.6419135798155,OSM,15
Arcymonka,handel,50.0488581,19.9638376,,bakery,,,active,7,42,92,310.92546892408166,58891.8975768367,0.8891897576836704,2221.620484632659,OSM,4
Piekarnia Geth,handel,50.0291437,19.924674,,bakery,,,active,7,55,85,191.87743886590363,57894.169929746495,0.7894169929746496,2421.1660140507006,OSM,5
Awiteks,handel,50.0158576,19.9510079,,bakery,,,active,11,52,104,155.08808985352096,57276.025802676115,0.7276025802676114,2544.7948394647774,OSM,7
bakery_3039267426,handel,49.9855225,20.0638718,,bakery,,,active,6,9,23,75.57363788551373,53883.93633031867,0.3883936330318669,3223.212733936266,OSM,4
Domino,handel,50.0282149,19.9286774,,bakery,,,active,6,57,85,191.5319426420437,57889.46938509126,0.7889469385091259,2422.1061229817483,OSM,6
Krakowskie Wypieki,handel,50.0333034,19.9241645,,bakery,,,active,9,52,84,208.55468524386342,58102.5472675651,0.8102547267565104,2379.490546486979,OSM,17
Złoty Kłos,handel,49.9857895,20.063026,,bakery,,,active,6,9,23,75.93696331933155,53915.59132543409,0.3915591325434089,3216.8817349131823,OSM,11
Dom Chleba,handel,50.0174346,19.9809538,,bakery,,,active,10,54,102,145.99975317669598,57075.33667611838,0.7075336676118378,2584.9326647763246,OSM,14
Dom Chleba,handel,50.0177955,19.9855253,,bakery,,,active,11,55,99,143.5816311723165,57017.660400445406,0.7017660400445406,2596.4679199109187,OSM,13
Dom Chleba,handel,50.0182755,19.9835507,,bakery,,,active,12,56,103,145.9769950263435,57074.802763204105,0.7074802763204104,2585.039447359179,OSM,17
Awiteks,handel,50.0188451,19.9864529,,bakery,,,active,12,56,100,145.01444172740005,57052.067545521386,0.7052067545521389,2589.5864908957224,OSM,4
Buczek,handel,50.0079436,19.9594961,,bakery,,,active,9,44,106,135.2195190494605,56802.30898974644,0.6802308989746441,2639.538202050712,OSM,18
Zaborowscy,handel,50.0224926,19.9014237,,bakery,,,active,4,21,63,150.80361256978415,57184.42956054103,0.7184429560541027,2563.114087891795,OSM,2
Awiteks,handel,50.0303848,19.936778,,bakery,,,active,9,68,92,205.73690711138948,58069.71169140162,0.8069711691401624,2386.0576617196753,OSM,17
Piekarnia Złoty Kłos,handel,50.014936,19.9069315,,bakery,,,active,2,18,65,139.5615433189322,56917.351169172885,0.6917351169172886,2616.5297661654226,OSM,19
Awiteks,handel,50.0166479,20.0078844,,bakery,,,active,16,34,70,125.31722396737939,56510.12547062045,0.6510125470620446,2697.9749058759107,OSM,11
Awiteks,handel,50.012512,19.9266586,,bakery,,,active,4,42,85,143.9047239757855,57025.47889891277,0.702547889891277,2594.904220217446,OSM,18
Awiteks,handel,50.0118052,19.926586,,bakery,,,active,4,41,84,142.31103135603604,56986.568924167994,0.6986568924167994,2602.686215166401,OSM,9
Piątka,handel,50.0122972,20.0196586,,bakery,,,active,10,33,61,112.38152444736106,56050.87010557329,0.6050870105573292,2789.8259788853416,OSM,1
Na Ruczaju,handel,50.0236886,19.9109959,,bakery,,,active,5,38,72,162.16809011590405,57416.77937600028,0.7416779376000283,2516.6441247999433,OSM,3
La Baguette,handel,50.0485362,19.9634175,,bakery,,,active,7,42,93,309.89254923679766,58886.537523308005,0.8886537523308004,2222.692495338399,OSM,16
Awiteks,handel,50.0086298,19.9485376,,bakery,,,active,11,40,100,138.12461859184262,56880.08050195963,0.6880080501959633,2623.9838996080734,OSM,8
Złoty Kłos,handel,50.0088963,19.9485955,,bakery,,,active,11,40,100,138.68856965950798,56894.800225948384,0.6894800225948384,2621.0399548103233,OSM,2
Awiteks,handel,50.0414841,19.9429922,,bakery,,,active,16,49,87,278.9036767680833,58707.26637312937,0.870726637312937,2258.5467253741263,OSM,15
Awiteks,handel,50.0358204,19.9413255,,bakery,,,active,8,58,90,236.85656263576865,58389.017747973965,0.8389017747973967,2322.1964504052066,OSM,9
Awiteks,handel,50.0150463,20.019401,,bakery,,,active,12,34,64,115.4382327513641,56168.67936139562,0.6168679361395615,2766.264127720877,OSM,16
Dom Chleba,handel,50.0185409,19.9863192,,bakery,,,active,12,56,99,144.50068803774255,57039.80886326712,0.7039808863267117,2592.0382273465766,OSM,19
Steskal,handel,50.0189204,19.9864871,,bakery,,,active,12,56,100,145.14099209916003,57055.07384393238,0.7055073843932381,2588.9852312135235,OSM,10
Buczek,handel,50.0458515,19.9301084,,bakery,,,active,10,42,78,298.49980170251087,58824.957011199935,0.8824957011199936,2235.008597760013,OSM,5
Gruzińskie Wypieki,handel,50.043836,19.9466846,,bakery,,,active,13,47,89,300.9250727835294,58838.45682789059,0.8838456827890592,2232.308634421882,OSM,3
Buczek,handel,50.0147525,20.0220369,,bakery,,,active,10,32,60,113.41031877139845,56091.23009778456,0.6091230097784562,2781.7539804430876,OSM,19
Awiteks,handel,50.0414429,19.9263285,,bakery,,,active,10,44,84,255.79121201491859,58545.28077387257,0.8545280773872566,2290.9438452254867,OSM,13
Gorąco Polecam,handel,50.0444874,19.9676915,,bakery,,,active,6,41,96,265.2137164957577,58614.72797634131,0.8614727976341308,2277.0544047317385,OSM,15
Geth,handel,50.015626,20.0008384,,bakery,,,active,13,39,84,128.88983517546598,56620.71813638897,0.6620718136388971,2675.856372722206,OSM,9
Piekarnia-Cukiernia Bochenek,handel,50.0111371,19.9751358,,bakery,,,active,7,48,102,136.3723328100286,56833.5671562023,0.6833567156202297,2633.2865687595404,OSM,6
Buczek,handel,50.0135328,19.9494597,,bakery,,,active,11,50,101,149.28847576531348,57150.779657057945,0.7150779657057944,2569.844068588411,OSM,7
Zaborowscy,handel,50.0450595,19.9500507,,bakery,,,active,11,45,90,311.1879834531469,58893.25415315954,0.8893254153159545,2221.3491693680908,OSM,7
Awiteks,handel,50.014423,19.9496691,,bakery,,,active,10,50,103,151.50407018982162,57199.75863108138,0.7199758631081378,2560.0482737837247,OSM,12
Buczek,handel,50.0226184,20.0493552,,bakery,,,active,2,11,45,102.04820609954152,55600.354831203185,0.5600354831203187,2879.9290337593625,OSM,9
Krakowskie Wypieki,handel,50.0136942,19.9958816,,bakery,,,active,13,42,89,129.26879391921614,56632.09046947197,0.663209046947197,2673.5819061056063,OSM,11
Iwona,handel,50.0189061,19.9815573,,bakery,,,active,11,55,103,148.7591090227679,57138.86128866587,0.7138861288665866,2572.2277422668267,OSM,11
Piekarnia Królewska,handel,50.0184677,20.0341342,,bakery,,,active,2,25,55,108.9086755615749,55908.99751629695,0.590899751629695,2818.20049674061,OSM,6
Chmura,handel,50.0268736,19.9871029,,bakery,,,active,6,56,103,162.07200115507337,57414.95140162062,0.7414951401620622,2517.0097196758757,OSM,18
